UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,EBOOK,2020,7,19,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,7,17,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,7,66,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2020,7,69,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,7,22,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,7,18,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Digital,OverDrive,EBOOK,2020,7,19,Notes of a Native Son,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Digital,OverDrive,AUDIOBOOK,2020,8,40,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2020,8,17,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2020,8,27,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,8,75,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,8,15,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,8,18,Notes of a Native Son,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Digital,OverDrive,AUDIOBOOK,2020,8,19,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Digital,OverDrive,EBOOK,2020,8,19,Go Tell It on the Mountain,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,8,17,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,8,74,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2020,9,19,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,9,62,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2020,9,25,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,9,16,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,9,31,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2020,9,19,Notes of a Native Son,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Digital,OverDrive,EBOOK,2020,9,72,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,9,18,Go Tell It on the Mountain,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,9,18,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Digital,OverDrive,AUDIOBOOK,2020,10,36,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2020,10,66,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2020,10,24,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,10,19,Go Tell It on the Mountain,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,10,67,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,10,16,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2020,10,20,Notes of a Native Son,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Digital,OverDrive,EBOOK,2020,10,15,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,10,17,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,11,27,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2020,11,86,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,11,15,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2020,11,25,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2020,11,23,Go Tell It on the Mountain,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,11,67,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2020,11,20,If Beale Street Could Talk,James Baldwin,"African American Fiction, Fiction","Random House, Inc.",2013
Physical,Horizon,BOOK,2020,11,20,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,EBOOK,2020,11,19,Notes of a Native Son,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Digital,OverDrive,AUDIOBOOK,2020,12,15,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2020,12,73,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,12,20,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,12,85,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2020,12,19,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Physical,Horizon,BOOK,2020,12,21,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,AUDIOBOOK,2020,12,15,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Digital,OverDrive,AUDIOBOOK,2020,12,25,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2020,12,16,Notes of a Native Son,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Digital,OverDrive,EBOOK,2020,12,23,Go Tell It on the Mountain,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,1,33,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2021,1,82,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2021,1,25,Go Tell It on the Mountain,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,1,23,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2021,1,19,Notes of a Native Son,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Digital,OverDrive,AUDIOBOOK,2021,1,21,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Physical,Horizon,BOOK,2021,1,22,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,EBOOK,2021,1,19,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,1,82,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2021,2,19,Notes of a Native Son,James Baldwin,"African American Nonfiction, Literary Criticism, Nonfiction, Sociology","Random House, Inc.",2014
Digital,OverDrive,AUDIOBOOK,2021,2,18,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,2,88,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2021,2,22,Go Tell It on the Mountain,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2021,2,20,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2021,2,76,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,2,16,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Digital,OverDrive,AUDIOBOOK,2021,2,24,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2021,2,15,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,3,16,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,3,74,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2021,3,15,Go Tell It on the Mountain,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Physical,Horizon,BOOK,2021,3,23,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,AUDIOBOOK,2021,3,24,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Nonfiction, Sociology","Blackstone Audio, Inc.",2015
Digital,OverDrive,AUDIOBOOK,2021,3,20,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2021,3,42,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,3,16,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2021,3,18,Giovanni's Room,James Baldwin,"African American Fiction, Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,4,19,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2021,4,16,Go Tell It on the Mountain,James Baldwin,"Fiction, African American Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,4,54,The Fire Next Time (Unabridged),James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2021,4,34,The Fire Next Time,James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2021,4,17,Giovanni's Room,James Baldwin,"Fiction, African American Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,4,20,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Sociology, Nonfiction","Blackstone Audio, Inc.",2015
Digital,OverDrive,AUDIOBOOK,2021,5,17,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,5,22,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Sociology, Nonfiction","Blackstone Audio, Inc.",2015
Digital,OverDrive,EBOOK,2021,5,19,Go Tell It on the Mountain,James Baldwin,"Fiction, African American Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2021,5,15,Giovanni's Room,James Baldwin,"Fiction, African American Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,5,35,The Fire Next Time (Unabridged),James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2021,5,23,The Fire Next Time,James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,6,33,The Fire Next Time (Unabridged),James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2021,6,25,The Fire Next Time,James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,6,17,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2021,6,16,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,6,19,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Sociology, Nonfiction","Blackstone Audio, Inc.",2015
Digital,OverDrive,EBOOK,2021,6,19,Go Tell It on the Mountain,James Baldwin,"Fiction, African American Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,6,16,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2021,7,20,The Fire Next Time,James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,7,20,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2021,7,36,The Fire Next Time (Unabridged),James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Blackstone Audio, Inc.",2008
Digital,OverDrive,AUDIOBOOK,2021,8,21,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,8,33,The Fire Next Time (Unabridged),James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Blackstone Audio, Inc.",2008
Digital,OverDrive,AUDIOBOOK,2021,8,16,Notes of a Native Son (Unabridged),James Baldwin,"Literary Criticism, Sociology, Nonfiction","Blackstone Audio, Inc.",2015
Digital,OverDrive,AUDIOBOOK,2021,8,19,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,8,24,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2021,8,23,The Fire Next Time,James Baldwin,"Biography & Autobiography, Politics, Sociology, Nonfiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,9,16,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,9,16,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2021,9,19,The Fire Next Time,James Baldwin,"Biography & Autobiography, Politics, Sociology, Nonfiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,9,22,The Fire Next Time (Unabridged),James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Blackstone Audio, Inc.",2008
Digital,OverDrive,AUDIOBOOK,2021,10,17,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2021,10,22,The Fire Next Time,James Baldwin,"Biography & Autobiography, Politics, Sociology, Nonfiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,10,31,The Fire Next Time (Unabridged),James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2021,11,16,The Fire Next Time,James Baldwin,"Biography & Autobiography, Politics, Sociology, Nonfiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,11,15,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,11,21,The Fire Next Time (Unabridged),James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Blackstone Audio, Inc.",2008
Digital,OverDrive,AUDIOBOOK,2021,12,19,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2021,12,16,The Fire Next Time,James Baldwin,"Biography & Autobiography, Politics, Sociology, Nonfiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2021,12,30,The Fire Next Time (Unabridged),James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Blackstone Audio, Inc.",2008
Digital,OverDrive,AUDIOBOOK,2022,1,18,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2022,1,24,The Fire Next Time,James Baldwin,"Biography & Autobiography, Politics, Sociology, Nonfiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2022,1,16,Go Tell It On the Mountain (Unabridged),James Baldwin,"Fiction, Literature","Blackstone Audio, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2022,1,31,The Fire Next Time (Unabridged),James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Blackstone Audio, Inc.",2008
Digital,OverDrive,AUDIOBOOK,2022,2,16,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2022,2,22,The Fire Next Time,James Baldwin,"Biography & Autobiography, Politics, Sociology, Nonfiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2022,2,27,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Physical,Horizon,BOOK,2022,2,16,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,AUDIOBOOK,2022,2,45,The Fire Next Time (Unabridged),James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Blackstone Audio, Inc.",2008
Digital,OverDrive,EBOOK,2022,2,26,Notes of a Native Son,James Baldwin,"Literary Criticism, Sociology, African American Nonfiction, Nonfiction","Random House, Inc.",2014
Digital,OverDrive,EBOOK,2022,3,17,The Fire Next Time,James Baldwin,"Biography & Autobiography, Politics, Sociology, Nonfiction","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2022,3,24,The Fire Next Time (Unabridged),James Baldwin,"Sociology, African American Nonfiction, Nonfiction","Blackstone Audio, Inc.",2008
Digital,OverDrive,AUDIOBOOK,2022,3,17,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013